ds,holiday,country,year
12/07/1999,Battle of the Boyne [Northern Ireland],UK,1999
02/08/1999,Summer Bank Holiday [Scotland],UK,1999
30/08/1999,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,1999
30/11/1999,St. Andrew's Day [Scotland],UK,1999
01/01/2000,New Year's Day,UK,2000
02/01/2000,New Year Holiday [Scotland],UK,2000
03/01/2000,New Year's Day (Observed),UK,2000
04/01/2000,New Year Holiday [Scotland] (Observed),UK,2000
17/03/2000,St. Patrick's Day [Northern Ireland],UK,2000
21/04/2000,Good Friday,UK,2000
24/04/2000,Easter Monday [England/Wales/Northern Ireland],UK,2000
01/05/2000,May Day,UK,2000
29/05/2000,Spring Bank Holiday,UK,2000
12/07/2000,Battle of the Boyne [Northern Ireland],UK,2000
07/08/2000,Summer Bank Holiday [Scotland],UK,2000
28/08/2000,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2000
30/11/2000,St. Andrew's Day [Scotland],UK,2000
01/01/2001,New Year's Day,UK,2001
02/01/2001,New Year Holiday [Scotland],UK,2001
17/03/2001,St. Patrick's Day [Northern Ireland],UK,2001
19/03/2001,St. Patrick's Day [Northern Ireland] (Observed),UK,2001
13/04/2001,Good Friday,UK,2001
16/04/2001,Easter Monday [England/Wales/Northern Ireland],UK,2001
07/05/2001,May Day,UK,2001
28/05/2001,Spring Bank Holiday,UK,2001
12/07/2001,Battle of the Boyne [Northern Ireland],UK,2001
06/08/2001,Summer Bank Holiday [Scotland],UK,2001
27/08/2001,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2001
30/11/2001,St. Andrew's Day [Scotland],UK,2001
01/01/2002,New Year's Day,UK,2002
02/01/2002,New Year Holiday [Scotland],UK,2002
17/03/2002,St. Patrick's Day [Northern Ireland],UK,2002
18/03/2002,St. Patrick's Day [Northern Ireland] (Observed),UK,2002
29/03/2002,Good Friday,UK,2002
01/04/2002,Easter Monday [England/Wales/Northern Ireland],UK,2002
06/05/2002,May Day,UK,2002
27/05/2002,Spring Bank Holiday,UK,2002
03/06/2002,Golden Jubilee of Elizabeth II,UK,2002
12/07/2002,Battle of the Boyne [Northern Ireland],UK,2002
05/08/2002,Summer Bank Holiday [Scotland],UK,2002
26/08/2002,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2002
30/11/2002,St. Andrew's Day [Scotland],UK,2002
01/01/2003,New Year's Day,UK,2003
02/01/2003,New Year Holiday [Scotland],UK,2003
17/03/2003,St. Patrick's Day [Northern Ireland],UK,2003
18/04/2003,Good Friday,UK,2003
21/04/2003,Easter Monday [England/Wales/Northern Ireland],UK,2003
05/05/2003,May Day,UK,2003
26/05/2003,Spring Bank Holiday,UK,2003
12/07/2003,Battle of the Boyne [Northern Ireland],UK,2003
04/08/2003,Summer Bank Holiday [Scotland],UK,2003
25/08/2003,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2003
30/11/2003,St. Andrew's Day [Scotland],UK,2003
01/01/2004,New Year's Day,UK,2004
02/01/2004,New Year Holiday [Scotland],UK,2004
17/03/2004,St. Patrick's Day [Northern Ireland],UK,2004
09/04/2004,Good Friday,UK,2004
12/04/2004,Easter Monday [England/Wales/Northern Ireland],UK,2004
03/05/2004,May Day,UK,2004
31/05/2004,Spring Bank Holiday,UK,2004
12/07/2004,Battle of the Boyne [Northern Ireland],UK,2004
02/08/2004,Summer Bank Holiday [Scotland],UK,2004
30/08/2004,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,2004
30/11/2004,St. Andrew's Day [Scotland],UK,2004
01/01/2005,New Year's Day,UK,2005
02/01/2005,New Year Holiday [Scotland],UK,2005
03/01/2005,New Year's Day (Observed),UK,2005
04/01/2005,New Year Holiday [Scotland] (Observed),UK,2005
17/03/2005,St. Patrick's Day [Northern Ireland],UK,2005
25/03/2005,Good Friday,UK,2005
28/03/2005,Easter Monday [England/Wales/Northern Ireland],UK,2005
02/05/2005,May Day,UK,2005
30/05/2005,Spring Bank Holiday,UK,2005
12/07/2005,Battle of the Boyne [Northern Ireland],UK,2005
